"Violations","name","Best_Seed","ARI","AMI","NMI","Mean_Silhouette","Clusters","number_features","number_instances","Cardinality_BAT","Cardinality_REAL","Execution_Time"
0,"pm10",6223,-0.00200706788383306,-0.00144934744753087,4.73071877310121e-08,0.60937811034588,2,8,500,"254, 246","254, 246",4.65932512283325
0,"fri_c0_100_5",2973,0.151503931732431,0.110064899494225,0.116614529306129,0.144978996436727,2,6,100,"46, 54","46, 54",1.47059917449951
0,"fri_c2_100_10",4539,0.0690909090909091,0.0566669727386421,0.06362888488781,0.147555422780569,2,11,100,"45, 55","45, 55",2.0469331741333
0,"strikes",572,0.000859173631180227,0.000624002307411915,0.00178026317084618,0.044919320330136,2,7,625,"315, 310","315, 310",16.111752986908
0,"quake",9882,0.00111249675466232,0.000300492253790997,0.000634760161702849,0.323497576295194,2,4,2178,"1209, 969","1209, 969",119.350337028503
0,"disclosure_x_bias",4539,3.19162737256402e-05,0.000129371460086231,0.00122277871967003,0.450450516123039,2,4,662,"345, 317","345, 317",12.2941751480103
0,"bodyfat",8349,0.0873205012961378,0.0641164968033611,0.0668120093124865,0.262987759668776,2,15,252,"124, 128","124, 128",5.97787714004517
0,"rabe_266",967,0.749010923099992,0.643959724499276,0.646131228068407,0.48751361854675,2,3,120,"57, 63","57, 63",1.97638607025146
0,"fri_c1_100_10",8349,0.185420502830115,0.142791317345813,0.149086537625643,0.111379873366958,2,11,100,"47, 53","47, 53",2.15295886993408
0,"fri_c2_500_5",967,0.17712805208102,0.120115819358651,0.121424479779556,0.262698700737398,2,6,500,"202, 298","202, 298",10.5534691810608
0,"fri_c3_250_10",2791,0.0145484949832775,0.00946338114059699,0.012352392550834,0.159460946375353,2,11,250,"115, 135","115, 135",4.43882489204407
0,"disclosure_x_tampered",9882,-0.00106681284702836,-0.000774761929441745,0.000318323437088131,0.374911399789057,2,4,662,"327, 335","327, 335",12.2980830669403
0,"fri_c0_1000_5",2746,-0.000217147575798389,-0.000155438729794589,0.000567122277370061,0.144849864586621,2,6,1000,"503, 497","503, 497",29.025890827179
0,"chscase_funds",4539,0.0594561347025271,0.0451975112895147,0.0489608320245893,0.237986952422855,2,3,185,"87, 98","87, 98",2.57540607452393
0,"fri_c3_1000_5",5279,0.0472361829024783,0.0307984377296456,0.0315068020358721,0.344423004047022,2,6,1000,"437, 563","437, 563",32.8771741390228
0,"chscase_vine2",8349,0.00374355602030384,0.00389804961618765,0.00544834066429694,0.51122107565343,2,3,468,"256, 212","256, 212",7.05284595489502
0,"chatfield_4",967,0.409449286455119,0.305655087408221,0.30787192661522,0.373704462902015,2,13,235,"142, 93","142, 93",5.0819878578186
0,"fri_c1_500_10",6626,0.213682338548383,0.157037311254597,0.158265383589919,0.130979100676402,2,11,500,"226, 274","226, 274",12.9453561306
0,"disclosure_x_noise",6626,-0.00106712502821736,-0.000771435832573288,0.000321557626274961,0.371348586497632,2,4,662,"329, 333","329, 333",12.8994839191437
0,"fri_c2_250_10",6626,0.316529196973436,0.218135151486432,0.220537762418571,0.105247362665717,2,11,250,"91, 159","91, 159",5.37515091896057
0,"stock",7712,0.047861927470812,0.0346300122823918,0.0353645836446278,0.458236752147214,2,10,950,"488, 462","488, 462",36.1343779563904
0,"fri_c0_1000_10",4539,0.0272508058378341,0.0196853744885237,0.0203937516884404,0.0765117999128018,2,11,1000,"491, 509","491, 509",38.3474869728088
0,"fri_c4_500_10",967,0.00875631694371166,0.0050020046247536,0.00645327960958768,0.155202623266965,2,11,500,"224, 276","224, 276",5.31699895858765
0,"vinnie",2791,0.438298112949567,0.344444281658098,0.345694283201583,0.471080407094531,2,3,380,"185, 195","185, 195",2.28014206886292
0,"fri_c4_250_10",4058,-0.00395181655580143,-0.00290898407778479,1.11174960517108e-05,0.128408868611628,2,11,250,"117, 133","117, 133",2.20085310935974
0,"fri_c2_500_10",7712,0.228585833539166,0.164842075347234,0.166069214032004,0.12820784611543,2,11,500,"214, 286","214, 286",5.47822690010071
0,"fri_c1_500_5",294,0.178126582917839,0.138105631785774,0.139357050707105,0.242043742355087,2,6,500,"233, 267","233, 267",3.92029213905334
0,"pollen",430,-7.73478711245204e-05,-5.58175200768268e-05,0.000131732921267028,0.301483804303108,2,6,3848,"1924, 1924","1924, 1924",335.573674917221
0,"mu284",8349,1,1,1,0.0338240786500247,2,11,284,"142, 142","142, 142",6.4937379360199
0,"fri_c0_500_5",731,0.0447417157550041,0.0325286617612751,0.0339286540801217,0.149490037842971,2,6,500,"249, 251","249, 251",9.10813689231873
0,"transplant",4058,1,1,1,0.574585868717479,2,4,131,"83, 48","83, 48",2.34124302864075
0,"chscase_geyser1",8349,-0.0020232423365123,-0.00306108410290222,0.000328953738715003,0.582638516325145,2,3,222,"88, 134","88, 134",2.99302411079407
0,"chscase_census6",3612,-0.00330387778363197,-0.00111650346226527,0.000737454818325623,0.10085752248236,2,7,400,"235, 165","235, 165",9.49155688285828
0,"chscase_census5",2621,-0.00210690038382157,-0.00148839440956584,0.000326089445277176,0.23784580523465,2,8,400,"207, 193","207, 193",7.28758692741394
