"cluster","sil_width"
1,0.107956988796203
1,0.452808214588845
2,0.0577709742139752
2,0.34501016010952
2,0.231805124016024
2,0.0301203879622797
2,0.221216824621605
1,0.285715042333868
1,0.214219622969934
2,0.0499436970624075
1,0.228638727146525
2,0.314390624013904
2,0.383701066690051
1,0.31917056438248
1,0.351399850284818
2,0.377556575914589
2,0.316787874887996
2,0.276416872739401
2,0.08764095714524
1,0.15430374202475
1,0.354947608787326
2,0.169517492279686
1,0.334616590805116
2,0.162823586093082
2,-0.0112817791819637
2,0.320169151119136
1,0.315907989102489
1,0.304570760608483
2,0.314588432339045
2,0.344870568488731
1,0.379338772341488
1,0.413080913623997
1,0.0357446739601854
1,0.252999908140446
2,0.253751913106035
1,0.332188414940855
1,0.237912912441193
2,0.0237501421682323
1,0.436708270299598
1,0.409159669067857
1,0.254663142560655
1,0.465398868182126
2,0.281782808889338
1,0.422739216397774
1,0.43633382793776
2,0.349399330822614
2,0.264360579582101
1,0.390966916268915
2,0.108761537763428
1,0.402154294650713
1,0.352444135744997
2,0.322854008525515
1,0.451097813140768
2,0.183031185131819
1,0.342124673933529
1,0.440442108086703
2,0.325935849922532
1,0.170856027199418
1,0.360403070534509
2,0.0537924152608694
2,0.135307505011593
1,0.277367337152007
1,0.141726676110266
1,0.448747319202588
1,0.365793980762966
1,0.322230847007909
2,0.325368393043875
2,0.338081932959164
1,0.413287522746821
1,0.38578428234013
1,0.452336723500278
2,0.252878973557954
2,0.214011555523809
2,0.259230562389255
1,0.267303150181007
2,0.222917444505965
1,0.355265751482133
1,0.303186774852488
2,0.388155584864258
2,0.140664497237075
1,0.42976885695577
1,0.273655253875822
2,0.303368497487346
1,0.360454857114089
1,0.439280888270629
1,0.306147233650273
1,0.264908263436834
2,-0.0130157555010711
1,0.337415518206767
2,0.0597517566299953
2,0.327458710701269
2,0.294267870948087
1,0.323740380794555
1,0.349607179053234
2,0.383308050434554
2,0.0156836940457393
2,0.335106862227126
2,0.34720185700014
2,0.238229267636785
1,0.309764081979817
2,-0.0202217428708712
2,0.335487744603601
2,0.282730779052676
2,0.182725784760411
1,0.332702661583999
2,0.305699487635263
2,0.251795106418489
2,0.0328042747959461
2,0.398058040910075
1,0.172432291417807
2,0.0845460176723665
2,0.340520127769605
2,0.047433411681279
1,0.37290207881681
1,0.239668412376276
2,0.269993738452862
1,0.246963572000276
2,0.160199329186842
2,0.168068867913936
1,0.393145282805128
1,0.149897261526513
1,0.231728583688368
1,0.04108569629474
1,0.341837380543648
2,0.0422988891488555
2,0.254299253050249
2,0.094313506735382
2,0.105745967504745
1,0.259025046145108
2,0.260404813030809
2,0.0139790799020602
2,0.247176765753945
2,0.365500655107953
1,0.298054037601485
1,0.22478928577571
2,0.0638313466183332
1,0.406367290530036
2,0.0359268919615701
1,0.262127039169068
1,0.405430626458917
1,0.327053028547851
1,0.118170078056212
2,0.197840821659303
1,0.289306779439573
2,0.313906321006327
1,0.427554184438707
2,0.175479714851575
1,0.251044365951349
1,0.423538388156927
2,0.370614477337344
1,0.37510245800886
1,0.160548603673935
1,0.155947855775337
1,0.405515831245527
1,0.391869744043081
2,0.227113649121171
1,0.302690639203577
2,0.0512994355297004
2,0.243269014836705
1,0.278782694260822
2,-0.0416831156090796
2,0.231800301415165
1,0.1610525997613
2,0.385290551522333
1,0.130240878566484
1,0.391686969704326
1,0.388619404691561
1,0.0487179119339031
2,0.204547391165321
2,0.143802557965242
1,0.350112655753779
2,0.0568516184235454
2,0.269674654547755
2,0.0509517896119919
2,0.00838005925116586
1,0.396846124648276
1,0.475468343020785
2,0.208853586696423
2,0.280313825592327
1,0.117128630772367
1,0.19176425564333
2,0.194805121402995
1,0.196263716700071
2,0.377630273044434
1,0.104988677504975
2,0.388887921367765
2,0.353683515732677
2,0.112924675612143
2,0.110557982200929
2,0.0360653505199083
2,0.0189274999413213
2,0.139695789748429
2,0.159107784459988
1,0.34354741775216
1,0.442122323644083
1,0.121717501238926
1,0.256924757680775
2,0.167942888022529
2,0.324391733668244
2,0.153100378262838
1,0.260454086511942
2,0.15554694490401
1,0.347094426652342
1,0.165218619916929
2,0.311204888061061
1,0.291238597358096
2,0.172118653850339
1,0.371145573639974
1,0.417427460976103
1,0.0524730025567853
1,0.164637436125061
2,0.261848684360938
1,0.334018171790154
1,0.233376912404683
1,0.338876630633959
1,0.0781530650310981
2,0.0600816909898577
2,0.0912036994823879
1,0.400453674158119
2,0.240842838415481
1,0.366192343464299
2,0.0869419599044608
1,0.200114744078337
2,0.319062972536762
1,0.210429712908657
1,0.21702045864739
1,0.244488937912799
2,0.260515633013345
1,0.362724942588945
1,0.285732991371986
1,0.210729828489127
1,0.354405014043817
1,0.155156518254976
1,0.3948789841802
1,0.353368757332856
2,0.326163891162702
2,0.360252424208623
2,0.162872648523171
1,0.290627872151614
2,0.0341921429740556
2,0.318627498917543
2,0.367308268603771
1,0.462729964632192
2,0.356830794660108
1,0.433866943438687
1,0.452934066723339
2,0.162398685145913
2,0.236649360664722
1,0.435530960685733
1,0.119558945472575
1,0.227850467060043
1,0.0506591433849461
1,0.277565741699491
1,0.390190719542015
1,0.255842500020721
1,0.441349858682915
1,0.160158929770436
1,0.107388447238682
1,0.317310256525536
1,0.419115378723392
2,0.344403941828169
2,0.399510523877519
